0index,種類,効果,対象,ID
609,NULL,NULL,0,609
610,NULL,NULL,0,610
611,NULL,NULL,0,611
612,NULL,NULL,0,612
613,NULL,NULL,0,613
614,NULL,NULL,0,614
615,NULL,NULL,0,615
616,NULL,NULL,0,616
617,NULL,NULL,0,617
618,NULL,NULL,0,618
619,NULL,NULL,0,619
620,NULL,NULL,0,620
621,NULL,NULL,0,621
622,NULL,NULL,0,622
623,NULL,NULL,0,623
624,NULL,NULL,0,624
625,NULL,NULL,0,625
626,NULL,NULL,0,626
627,NULL,NULL,0,627
628,NULL,NULL,0,628
629,NULL,NULL,0,629
630,NULL,NULL,0,630
631,NULL,NULL,0,631
632,NULL,NULL,0,632
633,NULL,NULL,0,633
634,NULL,NULL,0,634
635,NULL,NULL,0,635
636,NULL,NULL,0,636
637,NULL,NULL,0,637
638,NULL,NULL,0,638
639,NULL,NULL,0,639
640,NULL,NULL,0,640
641,NULL,NULL,0,641
642,NULL,NULL,0,642
643,NULL,NULL,0,643
644,NULL,NULL,0,644
645,NULL,NULL,0,645
646,NULL,NULL,0,646
647,NULL,NULL,0,647
648,NULL,NULL,0,648
649,NULL,NULL,0,649
650,NULL,NULL,0,650
651,NULL,NULL,0,651
652,NULL,NULL,0,652
653,NULL,NULL,0,653
654,NULL,NULL,0,654
655,NULL,NULL,0,655
656,NULL,NULL,0,656
657,NULL,NULL,0,657
658,NULL,NULL,0,658
659,NULL,NULL,0,659
660,NULL,NULL,0,660
661,NULL,NULL,0,661
662,NULL,NULL,0,662
663,NULL,NULL,0,663
664,NULL,NULL,0,664
665,NULL,NULL,0,665
666,NULL,NULL,0,666
667,NULL,NULL,0,667
668,NULL,NULL,0,668
669,NULL,NULL,0,669
670,NULL,NULL,0,670
671,NULL,NULL,0,671
672,NULL,NULL,0,672
673,NULL,NULL,0,673
674,NULL,NULL,0,674
675,NULL,NULL,0,675
676,NULL,NULL,0,676
677,NULL,NULL,0,677
678,NULL,NULL,0,678
679,NULL,NULL,0,679
680,NULL,NULL,0,680
681,NULL,NULL,0,681
682,NULL,NULL,0,682
683,NULL,NULL,0,683
684,NULL,NULL,0,684
685,NULL,NULL,0,685
686,NULL,NULL,0,686
687,NULL,NULL,0,687
688,NULL,NULL,0,688
689,NULL,NULL,0,689
690,NULL,NULL,0,690
691,NULL,NULL,0,691
692,NULL,NULL,0,692
693,NULL,NULL,0,693
694,NULL,NULL,0,694
695,NULL,NULL,0,695
696,NULL,NULL,0,696
697,NULL,NULL,0,697
698,NULL,NULL,0,698
699,NULL,NULL,0,699
700,NULL,NULL,0,700
701,NULL,NULL,0,701
702,NULL,NULL,0,702
703,NULL,NULL,0,703
704,NULL,NULL,0,704
705,NULL,NULL,0,705
706,NULL,NULL,0,706
707,NULL,NULL,0,707
708,NULL,NULL,0,708
709,NULL,NULL,0,709
710,NULL,NULL,0,710
711,NULL,NULL,0,711
712,NULL,NULL,0,712
713,NULL,NULL,0,713
714,NULL,NULL,0,714
715,NULL,NULL,0,715
716,NULL,NULL,0,716
717,NULL,NULL,0,717
718,NULL,NULL,0,718
719,NULL,NULL,0,719
720,NULL,NULL,0,720
721,NULL,NULL,0,721
722,NULL,NULL,0,722
723,NULL,NULL,0,723
724,NULL,NULL,0,724
725,NULL,NULL,0,725
726,NULL,NULL,0,726
727,NULL,NULL,0,727
728,NULL,NULL,0,728
729,NULL,NULL,0,729
730,NULL,NULL,0,730
731,NULL,NULL,0,731
732,NULL,NULL,0,732
733,NULL,NULL,0,733
734,NULL,NULL,0,734
735,NULL,NULL,0,735
736,NULL,NULL,0,736
737,NULL,NULL,0,737
738,NULL,NULL,0,738
739,NULL,NULL,0,739
740,NULL,NULL,0,740
741,NULL,NULL,0,741
742,NULL,NULL,0,742
743,NULL,NULL,0,743
744,NULL,NULL,0,744
745,NULL,NULL,0,745
746,NULL,NULL,0,746
747,NULL,NULL,0,747
748,NULL,NULL,0,748
749,NULL,NULL,0,749
750,NULL,NULL,0,750
751,NULL,NULL,0,751
752,NULL,NULL,0,752
753,NULL,NULL,0,753
754,NULL,NULL,0,754
755,NULL,NULL,0,755
756,NULL,NULL,0,756
757,NULL,NULL,0,757
758,NULL,NULL,0,758
759,NULL,NULL,0,759
760,NULL,NULL,0,760
761,NULL,NULL,0,761
762,NULL,NULL,0,762
763,NULL,NULL,0,763
764,NULL,NULL,0,764
765,NULL,NULL,0,765
766,NULL,NULL,0,766
767,NULL,NULL,0,767
768,NULL,NULL,0,768
769,NULL,NULL,0,769
770,NULL,NULL,0,770
771,NULL,NULL,0,771
772,NULL,NULL,0,772
773,NULL,NULL,0,773
774,NULL,NULL,0,774
775,NULL,NULL,0,775
776,NULL,NULL,0,776
777,NULL,NULL,0,777
778,NULL,NULL,0,778
779,NULL,NULL,0,779
780,NULL,NULL,0,780
781,NULL,NULL,0,781
782,NULL,NULL,0,782
783,NULL,NULL,0,783
784,NULL,NULL,0,784
785,NULL,NULL,0,785
786,NULL,NULL,0,786
787,NULL,NULL,0,787
788,NULL,NULL,0,788
789,NULL,NULL,0,789
790,NULL,NULL,0,790
791,NULL,NULL,0,791
792,NULL,NULL,0,792
793,NULL,NULL,0,793
794,NULL,NULL,0,794
795,NULL,NULL,0,795
796,NULL,NULL,0,796
797,NULL,NULL,0,797
798,NULL,NULL,0,798
799,NULL,NULL,0,799
800,NULL,NULL,0,800
801,NULL,NULL,0,801
802,NULL,NULL,0,802
803,NULL,NULL,0,803
804,NULL,NULL,0,804
805,NULL,NULL,0,805
806,NULL,NULL,0,806
807,NULL,NULL,0,807
808,NULL,NULL,0,808
809,NULL,NULL,0,809
810,NULL,NULL,0,810
811,NULL,NULL,0,811
812,NULL,NULL,0,812
813,NULL,NULL,0,813
814,NULL,NULL,0,814
815,NULL,NULL,0,815
816,NULL,NULL,0,816
817,NULL,NULL,0,817
818,NULL,NULL,0,818
819,NULL,NULL,0,819
820,NULL,NULL,0,820
821,NULL,NULL,0,821
822,NULL,NULL,0,822
823,NULL,NULL,0,823
824,NULL,NULL,0,824
825,NULL,NULL,0,825
826,NULL,NULL,0,826
827,NULL,NULL,0,827
828,NULL,NULL,0,828
829,NULL,NULL,0,829
830,NULL,NULL,0,830
831,NULL,NULL,0,831
832,NULL,NULL,0,832
833,NULL,NULL,0,833
834,NULL,NULL,0,834
835,NULL,NULL,0,835
836,NULL,NULL,0,836
837,NULL,NULL,0,837
838,NULL,NULL,0,838
839,NULL,NULL,0,839
840,NULL,NULL,0,840
841,NULL,NULL,0,841
842,NULL,NULL,0,842
843,NULL,NULL,0,843
844,NULL,NULL,0,844
845,NULL,NULL,0,845
846,NULL,NULL,0,846
847,NULL,NULL,0,847
848,NULL,NULL,0,848
849,NULL,NULL,0,849
850,NULL,NULL,0,850
851,NULL,NULL,0,851
852,NULL,NULL,0,852
853,NULL,NULL,0,853
854,NULL,NULL,0,854
855,NULL,NULL,0,855
856,NULL,NULL,0,856
857,NULL,NULL,0,857
858,NULL,NULL,0,858
859,NULL,NULL,0,859
860,NULL,NULL,0,860
861,NULL,NULL,0,861
862,NULL,NULL,0,862
863,NULL,NULL,0,863
864,NULL,NULL,0,864
865,NULL,NULL,0,865
866,NULL,NULL,0,866
867,NULL,NULL,0,867
868,NULL,NULL,0,868
869,NULL,NULL,0,869
870,NULL,NULL,0,870
871,NULL,NULL,0,871
872,NULL,NULL,0,872
873,NULL,NULL,0,873
874,NULL,NULL,0,874
875,NULL,NULL,0,875
876,NULL,NULL,0,876
877,NULL,NULL,0,877
878,NULL,NULL,0,878
879,NULL,NULL,0,879
880,NULL,NULL,0,880
881,NULL,NULL,0,881
882,NULL,NULL,0,882
883,NULL,NULL,0,883
884,NULL,NULL,0,884
885,NULL,NULL,0,885
886,NULL,NULL,0,886
887,NULL,NULL,0,887
888,NULL,NULL,0,888
889,NULL,NULL,0,889
890,NULL,NULL,0,890
891,NULL,NULL,0,891
892,NULL,NULL,0,892
893,NULL,NULL,0,893
894,NULL,NULL,0,894
895,NULL,NULL,0,895
896,NULL,NULL,0,896
897,NULL,NULL,0,897
898,NULL,NULL,0,898
899,NULL,NULL,0,899
900,NULL,NULL,0,900
901,NULL,NULL,0,901
902,NULL,NULL,0,902
903,NULL,NULL,0,903
904,NULL,NULL,0,904
905,NULL,NULL,0,905
906,NULL,NULL,0,906
907,NULL,NULL,0,907
908,NULL,NULL,0,908
909,NULL,NULL,0,909
910,NULL,NULL,0,910
911,NULL,NULL,0,911
912,NULL,NULL,0,912
913,NULL,NULL,0,913
914,NULL,NULL,0,914
915,NULL,NULL,0,915
916,NULL,NULL,0,916
917,NULL,NULL,0,917
918,NULL,NULL,0,918
919,NULL,NULL,0,919
920,NULL,NULL,0,920
921,NULL,NULL,0,921
922,NULL,NULL,0,922
923,NULL,NULL,0,923
924,NULL,NULL,0,924
925,NULL,NULL,0,925
926,NULL,NULL,0,926
927,NULL,NULL,0,927
928,NULL,NULL,0,928
929,NULL,NULL,0,929
930,NULL,NULL,0,930
931,NULL,NULL,0,931
932,NULL,NULL,0,932
933,NULL,NULL,0,933
934,NULL,NULL,0,934
935,NULL,NULL,0,935
936,NULL,NULL,0,936
937,NULL,NULL,0,937
938,NULL,NULL,0,938
939,NULL,NULL,0,939
940,NULL,NULL,0,940
941,NULL,NULL,0,941
942,NULL,NULL,0,942
943,NULL,NULL,0,943
944,NULL,NULL,0,944
945,NULL,NULL,0,945
946,NULL,NULL,0,946
947,NULL,NULL,0,947
948,NULL,NULL,0,948
949,NULL,NULL,0,949
950,NULL,NULL,0,950
951,NULL,NULL,0,951
952,NULL,NULL,0,952
953,NULL,NULL,0,953
954,NULL,NULL,0,954
955,NULL,NULL,0,955
956,NULL,NULL,0,956
957,NULL,NULL,0,957
958,NULL,NULL,0,958
959,NULL,NULL,0,959
960,NULL,NULL,0,960
961,NULL,NULL,0,961
962,NULL,NULL,0,962
963,NULL,NULL,0,963
964,NULL,NULL,0,964
965,NULL,NULL,0,965
966,NULL,NULL,0,966
967,NULL,NULL,0,967
968,NULL,NULL,0,968
969,NULL,NULL,0,969
970,NULL,NULL,0,970
971,NULL,NULL,0,971
972,NULL,NULL,0,972
973,NULL,NULL,0,973
974,NULL,NULL,0,974
975,NULL,NULL,0,975
976,NULL,NULL,0,976
977,NULL,NULL,0,977
978,NULL,NULL,0,978
979,NULL,NULL,0,979
980,NULL,NULL,0,980
981,NULL,NULL,0,981
982,NULL,NULL,0,982
983,NULL,NULL,0,983
984,NULL,NULL,0,984
985,NULL,NULL,0,985
986,NULL,NULL,0,986
987,NULL,NULL,0,987
988,NULL,NULL,0,988
989,NULL,NULL,0,989
990,NULL,NULL,0,990
991,NULL,NULL,0,991
992,NULL,NULL,0,992
993,NULL,NULL,0,993
994,NULL,NULL,0,994
995,NULL,NULL,0,995
996,NULL,NULL,0,996
997,NULL,NULL,0,997
998,NULL,NULL,0,998
999,NULL,NULL,0,999
1000,NULL,NULL,0,1000
1001,NULL,NULL,0,1001
1002,NULL,NULL,0,1002
1003,NULL,NULL,0,1003
1004,NULL,NULL,0,1004
1005,NULL,NULL,0,1005
1006,NULL,NULL,0,1006
1007,NULL,NULL,0,1007
1008,NULL,NULL,0,1008
1009,NULL,NULL,0,1009
1010,NULL,NULL,0,1010
1011,NULL,NULL,0,1011
1012,NULL,NULL,0,1012
1013,NULL,NULL,0,1013
1014,NULL,NULL,0,1014
1015,NULL,NULL,0,1015
1016,NULL,NULL,0,1016
1017,NULL,NULL,0,1017
1018,NULL,NULL,0,1018
1019,NULL,NULL,0,1019
1020,NULL,NULL,0,1020
1021,NULL,NULL,0,1021
1022,NULL,NULL,0,1022
1023,攻撃,自分の最大ＨＰの ３分の１の 反動ダメージを 受ける。,1,1023
